order_id,order_date,region,category,sub_category,product_name,sales,quantity,discount,profit,customer_segment
ORD-1001,2024-01-05,Central,Furniture,Bookcases,Classic Oak Bookcase,1000,2,0.3,-150,Consumer
ORD-1002,2024-01-12,Central,Furniture,Tables,Executive Meeting Table,1000,1,0.3,-150,Corporate
ORD-1003,2024-02-03,Central,Furniture,Chairs,Ergo Mesh Office Chair,1000,3,0.3,-150,Consumer
ORD-1004,2024-02-19,Central,Furniture,Bookcases,Walnut 5-Shelf Bookcase,1000,2,0.3,-150,Home Office
ORD-1005,2024-03-08,Central,Furniture,Tables,Adjustable Standing Desk,1000,2,0.3,-150,Corporate
ORD-1006,2024-01-22,East,Furniture,Chairs,Task Chair Deluxe,1000,3,0.3,-150,Consumer
ORD-1007,2024-02-14,West,Furniture,Bookcases,Metal Frame Bookcase,1000,2,0.3,-150,Consumer
ORD-1008,2024-01-09,East,Office Supplies,Binders,Heavy Duty 3-Ring Binder Pack,600,10,0.1,90,Consumer
ORD-1009,2024-02-11,East,Office Supplies,Paper,Premium Copy Paper Case,600,8,0.1,90,Corporate
ORD-1010,2024-01-27,West,Office Supplies,Storage,Stackable Storage Bins,600,6,0.1,90,Consumer
ORD-1011,2024-03-02,West,Office Supplies,Binders,Heavy Duty 3-Ring Binder Pack,600,10,0.1,90,Corporate
ORD-1012,2024-03-19,Central,Office Supplies,Paper,Premium Copy Paper Case,600,8,0.1,90,Consumer
ORD-1013,2024-04-06,East,Office Supplies,Storage,Stackable Storage Bins,600,6,0.1,90,Home Office
ORD-1014,2024-04-21,West,Office Supplies,Binders,Recycled Binder Pack,600,10,0.1,90,Consumer
ORD-1015,2024-02-08,East,Technology,Phones,Business VoIP Desk Phone,2000,4,0.05,500,Corporate
ORD-1016,2024-03-15,East,Technology,Copiers,Compact Office Copier,2000,1,0.05,500,Corporate
ORD-1017,2024-03-27,West,Technology,Phones,Business VoIP Desk Phone,2000,4,0.05,500,Consumer
ORD-1018,2024-04-10,West,Technology,Accessories,Wireless Presenter Kit,2000,5,0.05,500,Corporate
ORD-1019,2024-04-25,Central,Technology,Copiers,Compact Office Copier,2000,1,0.05,500,Corporate
ORD-1020,2024-05-02,Central,Technology,Phones,Business VoIP Desk Phone,2000,4,0.05,500,Consumer
